resolution_stategy,dep_key,tree_accurarcy,overlap_tree,contains_bundled,nmb_npm_deps,contains_optionals_and_peers
dep_reuse,checkmm@1.0.2,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,checkmm@1.0.2,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,checkmm@1.0.2,1.0,1.0,False,1,False
dep_reach,mija@1.1.0,1.0,1.0,False,8,False
dep_reuse,mija@1.1.0,1.0,1.0,False,8,False
dep_reach_plus_bundled_plus_peer,mija@1.1.0,1.0,1.0,False,8,False
dep_reuse_plus_bundled_plus_peer,mija@1.1.0,1.0,1.0,False,8,False
dep_reach,saed-cli@0.1.6,1.0,1.0,False,1,False
dep_reuse,saed-cli@0.1.6,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,saed-cli@0.1.6,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,saed-cli@0.1.6,1.0,1.0,False,1,False
dep_reach,hapi-kue@0.1.0,0.8950617283950617,0.8100558659217877,False,109,False
dep_reuse,hapi-kue@0.1.0,0.9629629629629629,0.9285714285714286,False,109,False
dep_reach_plus_bundled_plus_peer,hapi-kue@0.1.0,0.8950617283950617,0.8100558659217877,False,109,False
dep_reuse_plus_bundled_plus_peer,hapi-kue@0.1.0,0.9629629629629629,0.9285714285714286,False,109,False
dep_reach,TopuNet-Landscape-Mask@1.1.3,1.0,1.0,False,1,False
dep_reuse,TopuNet-Landscape-Mask@1.1.3,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,TopuNet-Landscape-Mask@1.1.3,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,TopuNet-Landscape-Mask@1.1.3,1.0,1.0,False,1,False
dep_reach,tribe@0.4.9,0.7128205128205128,0.555111821086262,True,415,True
dep_reuse,tribe@0.4.9,0.7233606557377049,0.5684380032206119,True,415,True
dep_reach_plus_bundled_plus_peer,tribe@0.4.9,0.9866255144032922,0.9736040609137055,True,415,True
dep_reuse_plus_bundled_plus_peer,tribe@0.4.9,0.9979423868312757,0.9958932238193019,True,415,True
dep_reach,tutorial-npm-helloworld@1.0.0,1.0,1.0,False,1,False
dep_reuse,tutorial-npm-helloworld@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,tutorial-npm-helloworld@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,tutorial-npm-helloworld@1.0.0,1.0,1.0,False,1,False
dep_reach,@jasongilbertuk/product-table@1.0.2,1.0,1.0,False,1,False
dep_reuse,@jasongilbertuk/product-table@1.0.2,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,@jasongilbertuk/product-table@1.0.2,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,@jasongilbertuk/product-table@1.0.2,1.0,1.0,False,1,False
dep_reach,@rohitninawe/tiny@1.0.0,1.0,1.0,False,1,False
dep_reuse,@rohitninawe/tiny@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,@rohitninawe/tiny@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,@rohitninawe/tiny@1.0.0,1.0,1.0,False,1,False
dep_reach,qiao-ping@0.1.2,1.0,1.0,False,4,False
dep_reuse,qiao-ping@0.1.2,1.0,1.0,False,4,False
dep_reach_plus_bundled_plus_peer,qiao-ping@0.1.2,1.0,1.0,False,4,False
dep_reuse_plus_bundled_plus_peer,qiao-ping@0.1.2,1.0,1.0,False,4,False
dep_reach,xgf-excel-export@1.0.0,1.0,1.0,False,1,False
dep_reuse,xgf-excel-export@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,xgf-excel-export@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,xgf-excel-export@1.0.0,1.0,1.0,False,1,False
dep_reach,good-luck-cli@0.0.10,0.9846153846153847,0.9696969696969697,False,96,False
dep_reuse,good-luck-cli@0.0.10,0.9846153846153847,0.9696969696969697,False,96,False
dep_reach_plus_bundled_plus_peer,good-luck-cli@0.0.10,0.9846153846153847,0.9696969696969697,False,96,False
dep_reuse_plus_bundled_plus_peer,good-luck-cli@0.0.10,0.9846153846153847,0.9696969696969697,False,96,False
dep_reach,angular-dynamic-input@1.0.6,1.0,1.0,False,1,False
dep_reuse,angular-dynamic-input@1.0.6,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,angular-dynamic-input@1.0.6,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,angular-dynamic-input@1.0.6,1.0,1.0,False,1,False
dep_reach,lifeng1@1.0.0,1.0,1.0,False,1,False
dep_reuse,lifeng1@1.0.0,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,lifeng1@1.0.0,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,lifeng1@1.0.0,1.0,1.0,False,1,False
dep_reach,@app-config/default-extensions@2.8.5,0.9715762273901809,0.9330024813895782,False,81,False
dep_reuse,@app-config/default-extensions@2.8.5,0.9715762273901809,0.9330024813895782,False,81,False
dep_reach_plus_bundled_plus_peer,@app-config/default-extensions@2.8.5,0.9715762273901809,0.9330024813895782,False,81,False
dep_reuse_plus_bundled_plus_peer,@app-config/default-extensions@2.8.5,0.9715762273901809,0.9330024813895782,False,81,False
dep_reach,truffle-compile@3.0.16,0.8839638416983738,0.7920566328635643,False,405,False
dep_reuse,truffle-compile@3.0.16,1.0,1.0,False,405,False
dep_reach_plus_bundled_plus_peer,truffle-compile@3.0.16,0.8839638416983738,0.7920566328635643,False,405,False
dep_reuse_plus_bundled_plus_peer,truffle-compile@3.0.16,1.0,1.0,False,405,False
dep_reach,random-messages-ckx@1.0.1,1.0,1.0,False,1,False
dep_reuse,random-messages-ckx@1.0.1,1.0,1.0,False,1,False
dep_reach_plus_bundled_plus_peer,random-messages-ckx@1.0.1,1.0,1.0,False,1,False
dep_reuse_plus_bundled_plus_peer,random-messages-ckx@1.0.1,1.0,1.0,False,1,False
dep_reach,als-parser@1.2.0,0.9838107098381071,0.9693251533742331,False,64,False
dep_reuse,als-parser@1.2.0,1.0,1.0,False,64,False
dep_reach_plus_bundled_plus_peer,als-parser@1.2.0,0.9838107098381071,0.9693251533742331,False,64,False
dep_reuse_plus_bundled_plus_peer,als-parser@1.2.0,1.0,1.0,False,64,False
dep_reach,mssql-updated@4.1.1,1.0,1.0,False,25,False
dep_reuse,mssql-updated@4.1.1,1.0,1.0,False,25,False
dep_reach_plus_bundled_plus_peer,mssql-updated@4.1.1,1.0,1.0,False,25,False
dep_reuse_plus_bundled_plus_peer,mssql-updated@4.1.1,1.0,1.0,False,25,False
dep_reach,vue-blob-json-csv@0.1.7,1.0,1.0,False,15,True
dep_reuse,vue-blob-json-csv@0.1.7,1.0,1.0,False,15,True
dep_reach_plus_bundled_plus_peer,vue-blob-json-csv@0.1.7,1.0,1.0,False,15,True
dep_reuse_plus_bundled_plus_peer,vue-blob-json-csv@0.1.7,1.0,1.0,False,15,True
dep_reach,@blockstack/clarity@0.3.15,0.9538461538461539,0.9538461538461539,False,44,True
dep_reuse,@blockstack/clarity@0.3.15,0.9538461538461539,0.9538461538461539,False,44,True
